pedido_id,data_pedido,cliente_id,produto_id,quantidade,valor_unitario,desconto_pct,valor_total,status
1,2024-06-15,5,24,1,361.41,0.0,361.41,Entregue
2,2024-02-02,375,19,3,78.99,0.0,236.97,Entregue
3,2024-12-18,250,10,1,167.45,0.0,167.45,Cancelado
4,2025-03-02,430,3,2,350.84,0.0,701.68,Em trânsito
5,2024-03-02,210,15,1,57.27,0.1,51.54,Entregue
6,2025-08-27,301,21,1,570.07,0.0,570.07,Entregue
7,2024-12-09,329,22,2,168.57,0.05,320.28,Entregue
8,2025-01-22,140,6,1,68.08,0.0,68.08,Em trânsito
9,2024-12-03,264,21,1,570.07,0.0,570.07,Entregue
10,2024-11-15,237,17,1,63.03,0.0,63.03,Entregue
11,2025-02-25,35,18,1,90.59,0.0,90.59,Entregue
12,2024-05-17,459,18,1,90.59,0.0,90.59,Entregue
13,2024-06-07,375,9,1,148.2,0.0,148.2,Entregue
14,2025-10-28,41,19,1,78.99,0.0,78.99,Entregue
15,2025-12-06,112,2,1,431.76,0.05,410.17,Entregue
16,2024-11-03,210,14,1,61.85,0.0,61.85,Entregue
17,2024-08-23,414,5,1,137.73,0.0,137.73,Entregue
18,2025-05-09,440,15,1,57.27,0.0,57.27,Entregue
19,2024-11-19,259,13,1,154.87,0.0,154.87,Entregue
20,2024-01-23,448,17,2,63.03,0.0,126.06,Em trânsito
21,2024-05-18,72,17,1,63.03,0.0,63.03,Cancelado
22,2025-07-07,233,20,1,61.4,0.05,58.33,Cancelado
23,2025-05-20,359,4,1,301.5,0.0,301.5,Entregue
24,2024-01-25,11,7,1,50.46,0.0,50.46,Entregue
25,2024-07-12,360,23,2,298.32,0.0,596.64,Em trânsito
26,2024-07-20,439,22,3,168.57,0.0,505.71,Entregue
27,2025-05-31,218,19,2,78.99,0.0,157.98,Entregue
28,2024-01-18,6,20,1,61.4,0.0,61.4,Cancelado
29,2024-04-05,235,18,1,90.59,0.0,90.59,Cancelado
30,2025-09-15,151,1,1,218.58,0.0,218.58,Entregue
